Stock,Quarter,EPS
RELIANCE.NS,Sep 2019,18.36
RELIANCE.NS,Dec 2019,13.78
RELIANCE.NS,Mar 2020,13.42
RELIANCE.NS,Jun 2020,19.95
RELIANCE.NS,Sep 2020,14.34
RELIANCE.NS,Dec 2020,13.7
RELIANCE.NS,Mar 2021,24.48
RELIANCE.NS,Jun 2021,22.37
RELIANCE.NS,Sep 2021,28.01
RELIANCE.NS,Dec 2021,25.52
RELIANCE.NS,Mar 2022,25.71
RELIANCE.NS,Jun 2022,23.66
RELIANCE.NS,Sep 2022,28.52
RELIANCE.NS,Dec 2022,23.34
RELIANCE.NS,Mar 2023,20.18
RELIANCE.NS,Jun 2023,26.54
RELIANCE.NS,Sep 2023,23.95
RELIANCE.NS,Dec 2023,27.76
RELIANCE.NS,Mar 2024,20.6
RELIANCE.NS,Jun 2024,18.63
RELIANCE.NS,Sep 2024,20.13
RELIANCE.NS,Dec 2024,19.93
RELIANCE.NS,Mar 2025,14.68
RELIANCE.NS,Jun 2025,20.63
RELIANCE.NS,Sep 2025,10.01
RELIANCE.NS,Dec 2025,18.36
HDFCBANK.NS,Sep 2019,12
HDFCBANK.NS,Dec 2019,13.9
HDFCBANK.NS,Mar 2020,13.2
HDFCBANK.NS,Jun 2020,12.6
HDFCBANK.NS,Sep 2020,14
HDFCBANK.NS,Dec 2020,15.8
HDFCBANK.NS,Mar 2021,15.2
HDFCBANK.NS,Jun 2021,14.3
HDFCBANK.NS,Sep 2021,16.3
HDFCBANK.NS,Dec 2021,19.1
HDFCBANK.NS,Mar 2022,18.7
HDFCBANK.NS,Jun 2022,17.2
HDFCBANK.NS,Sep 2022,19.93
HDFCBANK.NS,Dec 2022,22.68
HDFCBANK.NS,Mar 2023,22.46
HDFCBANK.NS,Jun 2023,22.03
HDFCBANK.NS,Sep 2023,22.12
HDFCBANK.NS,Dec 2023,22.65
HDFCBANK.NS,Mar 2024,23.12
HDFCBANK.NS,Jun 2024,21.59
HDFCBANK.NS,Sep 2024,23.29
